"Index" "Modal.PriceBrinjal" "Modal.PricePotato" "Modal.PriceLadiesfing" "Modal.PriceCarrot" "Modal.PriceTomato" "Modal.Price.bitter.groud" "Modal.Price.beetroot" "Modal.Price.ginger" "Modal.Price.garlic" "PetrolPrice" "Modal.Price.cauliflower" "Modal.Price.cabbage" "Modal.PriceOnion"
"2013-11-24" 2013-11-24 1714.28571428571 1982.14285714286 2767.85714285714 2196.42857142857 2775 1903.57142857143 993.367346938776 5960.71428571429 6456.42857142857 78.04 912.244897959184 957.142857142857 809.642857142857
"2013-12-01" 2013-12-01 1175 1894.64285714286 2486.22448979592 1739.28571428571 2120.84235209235 1746.9387755102 936.734693877551 5321.42857142857 5946.42857142857 78.04 585.204081632653 691.836734693878 799.69387755102
"2013-12-08" 2013-12-08 883.571428571429 1860.71428571429 2380.35714285714 1509.82142857143 1088.21428571429 1690.71428571429 888.571428571429 5917.85714285714 5223.21428571429 78.04 490 537.857142857143 676.944444444444
"2013-12-15" 2013-12-15 1439.28571428571 1800 2984.69387755102 1394.64285714286 1628.57142857143 2167.85714285714 965.30612244898 5742.85714285714 4946.42857142857 78.04 553.571428571429 610.714285714286 675.844155844156
"2013-12-22" 2013-12-22 1471.42857142857 1611.60714285714 3046.17346938776 1099.10714285714 1385.71428571429 2161.85064935065 909.69387755102 5385.71428571429 4232.14285714286 78.1885714285714 567.857142857143 546.428571428571 700
"2013-12-29" 2013-12-29 986.224489795918 1628.57142857143 2610.71428571429 1114.28571428571 807.142857142857 2145.14652014652 836.263736263736 5775 4500 78.56 486.734693877551 494.642857142857 765.408163265306
"2014-01-05" 2014-01-05 603.571428571429 1496.42857142857 2553.57142857143 1139.28571428571 466.428571428571 2021.42857142857 753.571428571429 5892.85714285714 4623.21428571429 79.09 420 417.857142857143 931.428571428571
"2014-01-12" 2014-01-12 936.607142857143 1132.14285714286 2563.59126984127 1253.57142857143 513.571428571429 2089.61038961039 798.214285714286 5790.77380952381 4071.42857142857 81.31 433.988095238095 430.059523809524 1248.86904761905
"2014-01-19" 2014-01-19 1077.97619047619 1010.71428571429 2243.7987012987 1218.15476190476 651.587301587302 2117.62896825397 797.746598639456 5442.85714285714 4254.55182072829 81.31 578.968253968254 424.404761904762 1455.75396825397
"2014-01-26" 2014-01-26 1008.33333333333 935.714285714286 2338.57142857143 1291.07142857143 658.333333333333 2625.51020408163 811.496598639456 5376.78571428571 4178.57142857143 81.31 389.285714285714 387.5 1979.89795918367
