Modal Price termaric, Date
19250,2010/12/21
19250,2010/12/22
19250,2010/12/23
19250,2010/12/24
19750,2010/12/25
19750,2010/12/27
19750,2010/12/30
19750,2010/12/31
19750,2011/01/03
19750,2011/01/04
19750,2011/01/05
19750,2011/01/08
19750,2011/01/10
19750,2011/01/11
19400,2011/01/12
19400,2011/01/13
19850,2011/01/14
19500,2011/01/15
19850,2011/01/17
19500,2011/01/18
19920,2011/01/19
20350,2011/01/20
5700,2011/01/21
20000,2011/01/24
20000,2011/01/25
22500,2011/01/27
19500,2011/01/28
19500,2011/01/29
22000,2011/01/31
19750,2011/02/01
19750,2011/02/02
19750,2011/02/03
19250,2011/02/04
19750,2011/02/05
19750,2011/02/07
18500,2011/02/08
18500,2011/02/10
17500,2011/02/11
19000,2011/02/14
20000,2011/02/15
20000,2011/02/16
19000,2011/02/17
19000,2011/02/18
19500,2011/02/21
20000,2011/02/22
19500,2011/02/23
19000,2011/02/24
18500,2011/02/26
20000,2011/02/28
19500,2011/03/01
19500,2011/03/03
17000,2011/03/05
16000,2011/03/07
17250,2011/03/12
15000,2011/03/14
16500,2011/03/15
15250,2011/03/17
15000,2011/03/18
16250,2011/03/23
16500,2011/03/24
16500,2011/03/25
16750,2011/03/30
16750,2011/03/31
16750,2011/04/01
1600,2011/04/02
16500,2011/04/04
15500,2011/04/05
15500,2011/04/06
15750,2011/04/07
15500,2011/04/08
15500,2011/04/09
15500,2011/04/11
15500,2011/04/12
15500,2011/04/13
15500,2011/04/15
15500,2011/04/16
16000,2011/04/18
15500,2011/04/19
16000,2011/04/20
13500,2011/04/22
14250,2011/04/26
15250,2011/04/27
15500,2011/04/29
15250,2011/04/30
11700,2011/05/02
15000,2011/05/07
15000,2011/05/09
15000,2011/05/10
15500,2011/05/11
15000,2011/05/13
16000,2011/05/14
15000,2011/05/16
15000,2011/05/17
15500,2011/05/18
15000,2011/05/19
15000,2011/05/20
15500,2011/05/21
15000,2011/05/23
15500,2011/05/24
14000,2011/05/25
14500,2011/05/26
15862,2011/05/28
14500,2011/05/30
14500,2011/05/31
15500,2011/06/01
14000,2011/06/04
14000,2011/06/06
14000,2011/06/07
14000,2011/06/08
14000,2011/06/09
8250,2011/06/10
8225,2011/06/11
14000,2011/06/14
12750,2011/06/15
12750,2011/06/16
12750,2011/06/17
12750,2011/06/18
9500,2011/06/21
10000,2011/06/23
9500,2011/06/24
9500,2011/06/28
10000,2011/06/29
9500,2011/07/05
10750,2011/07/07
10500,2011/07/08
11250,2011/07/09
11250,2011/07/11
10250,2011/07/12
10500,2011/07/14
11000,2011/07/15
10500,2011/07/16
10500,2011/07/19
12500,2011/07/20
12500,2011/07/21
10500,2011/07/22
10500,2011/07/23
8500,2011/07/28
8250,2011/07/29
8500,2011/07/30
8250,2011/08/01
10500,2011/08/02
10500,2011/08/04
11000,2011/08/09
11000,2011/08/10
11000,2011/08/11
9000,2011/08/12
9500,2011/08/13
7400,2011/08/16
9000,2011/08/26
9000,2011/08/27
10500,2011/08/29
10250,2011/08/30
10250,2011/08/31
9500,2011/09/03
8500,2011/09/06
8200,2011/09/07
8250,2011/09/08
10000,2011/09/09
10000,2011/09/10
1000,2011/09/12
10000,2011/09/14
7500,2011/09/15
8000,2011/09/16
8000,2011/09/19
6500,2011/09/20
7000,2011/09/21
5550,2011/09/22
5500,2011/09/23
5500,2011/09/24
6950,2011/09/26
4900,2011/09/27
8500,2011/09/28
8500,2011/09/29
8500,2011/09/30
6250,2011/10/01
6250,2011/10/04
7750,2011/10/05
6500,2011/10/07
6500,2011/10/08
6500,2011/10/10
6500,2011/10/11
6500,2011/10/12
6050,2011/10/13
9500,2011/10/14
7500,2011/10/15
7100,2011/10/17
6500,2011/10/18
8000,2011/10/19
6750,2011/10/20
6500,2011/10/21
6500,2011/10/22
6500,2011/10/25
6500,2011/10/27
7425,2011/10/31
5800,2011/11/01
8000,2011/11/02
8000,2011/11/03
9000,2011/11/04
9000,2011/11/05
9000,2011/11/08
9000,2011/11/09
9000,2011/11/10
8250,2011/11/11
8250,2011/11/12
8750,2011/11/14
9500,2011/11/15
8500,2011/11/18
9500,2011/11/19
8500,2011/11/21
8500,2011/11/22
6100,2011/11/23
6100,2011/11/24
6100,2011/11/25
6000,2011/11/28
6000,2011/11/29
8000,2011/11/30
9000,2011/12/02
8500,2011/12/03
8500,2011/12/06
6000,2011/12/07
6500,2011/12/08
6500,2011/12/09
6500,2011/12/10
6500,2011/12/12
6250,2011/12/13
7600,2011/12/14
6250,2011/12/15
6500,2011/12/16
6500,2011/12/17
8500,2011/12/19
9250,2011/12/20
7250,2011/12/21
6750,2011/12/22
6750,2011/12/23
7250,2011/12/27
6000,2011/12/30
6500,2011/12/31
8500,2012/01/05
7750,2012/01/06
6250,2012/01/07
6250,2012/01/09
8000,2012/01/10
6250,2012/01/11
6250,2012/01/12
9000,2012/01/13
6250,2012/01/20
4700,2012/01/21
7000,2012/01/23
6750,2012/01/24
6750,2012/01/25
8750,2012/01/28
7750,2012/01/30
8250,2012/01/31
6250,2012/02/01
7600,2012/02/02
6250,2012/02/03
7000,2012/02/04
7000,2012/02/06
7000,2012/02/07
8450,2012/02/08
7500,2012/02/09
7500,2012/02/11
8500,2012/02/13
7500,2012/02/14
7500,2012/02/15
7500,2012/02/17
8950,2012/02/18
8500,2012/02/20
7500,2012/02/21
6750,2012/02/22
6800,2012/02/23
6750,2012/02/24
6900,2012/02/28
8150,2012/02/29
8150,2012/03/01
7000,2012/03/02
6750,2012/03/03
6250,2012/03/05
6600,2012/03/06
6600,2012/03/07
6600,2012/03/08
6500,2012/03/09
6500,2012/03/12
5550,2012/03/14
5550,2012/03/15
6400,2012/03/17
6000,2012/03/19
6000,2012/03/20
6000,2012/03/21
5750,2012/03/22
5750,2012/03/23
5750,2012/03/24
5000,2012/03/26
5950,2012/03/27
7350,2012/03/28
6400,2012/03/29
7350,2012/03/30
5000,2012/03/31
7650,2012/04/03
7650,2012/04/04
6200,2012/04/05
6200,2012/04/06
7500,2012/04/09
7500,2012/04/12
6200,2012/04/13
6750,2012/04/16
6250,2012/04/17
6250,2012/04/18
7250,2012/04/19
6700,2012/04/20
6750,2012/04/21
6750,2012/04/23
6750,2012/04/24
7750,2012/04/26
7250,2012/04/27
7250,2012/04/28
6750,2012/05/02
6750,2012/05/03
6750,2012/05/04
6000,2012/05/07
6500,2012/05/08
6000,2012/05/09
6250,2012/05/10
6000,2012/05/14
6000,2012/05/15
7000,2012/05/16
6000,2012/05/17
6250,2012/05/18
7700,2012/05/19
9000,2012/05/22
7750,2012/05/23
7750,2012/05/24
8750,2012/05/25
6600,2012/05/26
6600,2012/05/28
7000,2012/05/29
6250,2012/05/30
6600,2012/05/31
